label_raw,partner_id,partner_name
ALDGATE DIRECT ACCESS,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
ASHFORD WEALTH MANAGEMENT,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
Aldgate,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
Aldgate DA,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
Aldgate Direct,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
Aldgate Direct Access,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
Ashford,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
Ashford WM,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
Ashford Wealth,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
Ashford Wealth Management,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
BROCKTON WEALTH PARTNERS,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
Brockton,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
Brockton WP,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
Brockton Wealth,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
Brockton Wealth Partners,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
CAVENDISH PRIVATE CLIENTS,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
CLEARWATER DIRECT,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Clearwater Direct
Cavendish,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
Cavendish PC,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
Cavendish Private,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
Cavendish Private Clients,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
Clearwater,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Clearwater Direct
Clearwater D,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Clearwater Direct
Clearwater Direct,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Clearwater Direct
FOXMORE INVESTOR PLATFORM,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
Foxmore,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
Foxmore IP,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
Foxmore Investor,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
Foxmore Investor Platform,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
GRANVILLE CAPITAL,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Granville Capital
Granville,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Granville Capital
Granville C,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Granville Capital
Granville Capital,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Granville Capital
Hadley &,4c0360ad-cd78-4635-b3d9-b151eb23663d,Hadley & Associates
Hadley & Associates,4c0360ad-cd78-4635-b3d9-b151eb23663d,Hadley & Associates
KINGSLEY FAMILY OFFICE,85581e80-3fa0-46ac-9438-85df07abd128,Kingsley Family Office
Kingsley Family Office,85581e80-3fa0-46ac-9438-85df07abd128,Kingsley Family Office
Meridian,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Meridian Capital Partners
Meridian CP,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Meridian Capital Partners
Meridian Capital,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Meridian Capital Partners
Meridian Capital Partners,d8c700a9-a81f-4e73-8a73-9391eac6b4e8,Meridian Capital Partners
NORBURY & PARTNERS,b7499d6b-07f6-4eb5-b249-734839ce7d36,Norbury & Partners
Norbury,b7499d6b-07f6-4eb5-b249-734839ce7d36,Norbury & Partners
Norbury &,b7499d6b-07f6-4eb5-b249-734839ce7d36,Norbury & Partners
Norbury & Partners,b7499d6b-07f6-4eb5-b249-734839ce7d36,Norbury & Partners
Norbury &P,b7499d6b-07f6-4eb5-b249-734839ce7d36,Norbury & Partners
PEMBERTON WEALTH ADVISORS,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Pemberton Wealth Advisors
Pemberton,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Pemberton Wealth Advisors
Pemberton WA,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Pemberton Wealth Advisors
Pemberton Wealth,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Pemberton Wealth Advisors
Pemberton Wealth Advisors,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Pemberton Wealth Advisors
STIRLING WEALTH ADVISORS,7461962f-aa90-4a34-a23e-6960a8b5104a,Stirling Wealth Advisors
Stirling,7461962f-aa90-4a34-a23e-6960a8b5104a,Stirling Wealth Advisors
Stirling WA,7461962f-aa90-4a34-a23e-6960a8b5104a,Stirling Wealth Advisors
Stirling Wealth,7461962f-aa90-4a34-a23e-6960a8b5104a,Stirling Wealth Advisors
Stirling Wealth Advisors,7461962f-aa90-4a34-a23e-6960a8b5104a,Stirling Wealth Advisors
THORNTON ASSET MANAGEMENT,646321a5-ccbc-445a-8c04-c797aa3a8200,Thornton Asset Management
Thornton,646321a5-ccbc-445a-8c04-c797aa3a8200,Thornton Asset Management
Thornton AM,646321a5-ccbc-445a-8c04-c797aa3a8200,Thornton Asset Management
Thornton Asset,646321a5-ccbc-445a-8c04-c797aa3a8200,Thornton Asset Management
Thornton Asset Management,646321a5-ccbc-445a-8c04-c797aa3a8200,Thornton Asset Management
WAVERLY INVESTMENT GROUP,79c50ef2-324d-473a-8d38-ac37c87188a6,Waverly Investment Group
Waverly,79c50ef2-324d-473a-8d38-ac37c87188a6,Waverly Investment Group
Waverly IG,79c50ef2-324d-473a-8d38-ac37c87188a6,Waverly Investment Group
Waverly Investment,79c50ef2-324d-473a-8d38-ac37c87188a6,Waverly Investment Group
Waverly Investment Group,79c50ef2-324d-473a-8d38-ac37c87188a6,Waverly Investment Group
aldgate direct access,8bfe2d7b-041a-46e4-9c7f-648868307de5,Aldgate Direct Access
ashford wealth management,329b3776-ad36-4f85-b9df-772610528241,Ashford Wealth Management
brockton wealth partners,6ec4d299-dd92-4489-90d5-b8fbde704fee,Brockton Wealth Partners
cavendish private clients,fccd4c9b-212a-40e2-855c-9633c65670f0,Cavendish Private Clients
clearwater direct,7c6b66c1-9890-42a4-9fb7-761c8049ade4,Clearwater Direct
foxmore investor platform,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Foxmore Investor Platform
granville capital,00ce42a4-8b51-4cdd-9ca3-9bff9a87b056,Granville Capital
hadley & associates,4c0360ad-cd78-4635-b3d9-b151eb23663d,Hadley & Associates
